state	stateno	order	sgenexp	stotrev	stltdebt	pcpinc	totpop	cpi	year	dratelag	dmajdgov	dmajrgov	rmajdgov	rmajrgov	nmajdgov	nmajrgov	othergov	_merge	ideology	religion	adopted	statutry	constnl	indstat	indconst	referend	sigstat	sigconst	sigindst	sigindc	sigref	singlsub	contrest	judicrev	adminrev	legisrev	postrest	init	sigs	south	sigsq	invsigs	cappun	adopt_cp	initideo	sigideo	noinideo	initrel	noinrel	deficit	debt	rpcpinc	drpcpinc	divgov	nbrs_cp1	nbrs_cp3	nbrs_cp2	nbrs_cp4	nbors	nbrs_cp	dur_cp	spline1	spline2	spline3	_t_cp0	_t_cp1	_t_cp2	_t_cp3	_t_cp4	_t_cp5	_t_cp6	_t_cp7	_t_cp8	_t_cp9	_t_cp10	source_count	source_count
"NJ"	30								1970		0	0	0	1	0	0	0	2	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684					0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"NJ"	30	8				4577		2.4660000801086426	1971		0	0	0	1	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684			17.691038131713867		0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0
"NJ"	30	8	2640	2550.10009765625	1925.199951171875	4811	7.2820000648498535	2.3910000324249268	1972	5.800000190734863	0	1	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.03405299410223961	0.7292423844337463	18.029939651489258	0.019156677648425102	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"NJ"	30	8	2999	2894.39990234375	2367.10009765625	5126	7.336999893188477	2.250999927520752	1973	6.5	0	1	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.03487832471728325	0.7892964482307434	18.085620880126953	0.003088264726102352	1	0	0	0	0	0	0	1	-0.8999999761581421	-0.800000011920929	-0.4000000059604645	0	1	0	0	0	0	0	0	0	0	0	1	4
"NJ"	30	8	3264	3356.60009765625	2585.199951171875	5874	7.335000038146973	2.0290000438690186	1974	7.400000095367432	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	-0.028370127081871033	0.7920343279838562	18.68079376220703	0.03290862217545509	0	0	0	0	0	3	0	2	-6.199999809265137	-6.400000095367432	-3.200000047683716	0	0	1	0	0	0	0	0	0	0	0	3	6
"NJ"	30	8	3741	3711.39990234375	3400.300048828125	6384	7.335000038146973	1.8589999675750732	1975	6.800000190734863	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.007912348955869675	0.9089280962944031	18.601654052734375	-0.0042364210821688175	0	0	0	0	3	4	3	3	-16.299999237060547	-20.600000381469727	-10.800000190734863	0	0	0	1	0	0	0	0	0	0	0	4	5
"NJ"	30	8	4326	3854.800048828125	3575.60009765625	6794	7.3379998207092285	1.7569999694824219	1976	6.800000190734863	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.10892277956008911	0.8265372514724731	18.710121154785156	0.005831046029925346	0	0	0	0	4	4	4	4	-30.599998474121094	-43.20000076293945	-25.600000381469727	0	0	0	0	1	0	0	0	0	0	0	3	5
"NJ"	30	8	4510	4116.89990234375	3722.300048828125	7269	7.343999862670898	1.6490000486373901	1977	5.199999809265137	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.08716188371181488	0.825343668460846	18.787744522094727	0.004148736596107483	0	0	0	0	4	4	4	5	-48.5	-73	-50	0	0	0	0	0	1	0	0	0	0	0	3	6
"NJ"	30	8	5452	5370.2998046875	3955.699951171875	7994	7.3420000076293945	1.531999945640564	1978	5.599999904632568	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	0.014985362067818642	0.7255502343177795	19.19562339782715	0.021709837019443512	0	0	0	0	4	4	4	6	-69.39999389648438	-108.80000305175781	-86.4000015258789	0	0	0	0	0	0	1	0	0	0	0	2	6
"NJ"	30	8	5773	5833.2998046875	4699.7001953125	8818	7.35099983215332	1.3799999952316284	1979	5.400000095367432	1	0	0	0	0	0	0	3	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4000000953674316	0	2.0999999046325684	-0.010445142164826393	0.8140828609466553	19.07341766357422	-0.006366332992911339	0	0	0	0	4	4	4	7	-92.70001220703125	-149.39999389648438	-136.1999969482422	0	0	0	0	0	0	0	1	0	0	0	1	7
