st	year	percentsmokers	tobaccolobby	healthorgslobby	production	govideolbrfh	yadatecensus	restcensus	wp_publiccensus	govbuildings	restaurants	outofpackage	neigovbuildings	neirestaurant	neioutofpackage	dvgovbuild	dvrest	dvoutpack	toblobbyratio	healthlobbyratio	ugovdem	ugovrep	psphealth	proddum	synar1	yacens_healthorgslobby	gbcens_healthorgslobby	restcens_healthorgslobby	rslsal	rslsalgbl	rslsalrestl	rslsalyal	profess	professgbl	professrl	professyal	policynum	pooleddv	poolednei	pooledcensus	pooledlocalrslsal	pooledlocalhealth	styr	pooledlocalprof	synar1ya	state
40	1975	26.6	0	2	0.189	25.71	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.027190333	0.09667674	0.0	0.0	0.033548735	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	401975.0	0.0	0.0	"SC"
41	1975	25.7	0	0	0	73.69	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01179941	0.06784661	0.0	0.0	0.018704904	0.0	0.0	0.0	0.0	0.0	8.0025	0.0	0.0	0.0	0.104	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	411975.0	0.0	0.0	"SD"
42	1975	25.9	0	1	0.134569	64.1	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.023655914	0.14838709	1.0	0.0	0.024148876	1.0	0.0	0.0	0.0	0.0	20.038261	0.0	0.0	0.0	0.149	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	421975.0	0.0	0.0	"TN"
43	1975	23.3	0	0	0	36.52	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.003613836	0.048528653	1.0	0.0	0.014394036	0.0	0.0	0.0	0.0	0.0	23.0472	0.0	0.0	0.0	0.191	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	431975.0	0.0	0.0	"TX"
44	1975	16.1	0	1	0	62.37	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02862254	0.04830054	1.0	0.0	0.018551927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	441975.0	0.0	0.0	"UT"
45	1975	21.9	0	1	0	77.16	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04416404	0.100946374	0.0	0.0	0.032967467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	451975.0	0.0	0.0	"VT"
46	1975	25.2	0	2	0.142054	20.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.009202454	0.043711655	0.0	0.0	0.023975829	1.0	0.0	0.0	0.0	0.0	17.6055	0.0	0.0	0.0	0.164	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	461975.0	0.0	0.0	"VA"
47	1975	24.7	1	0	0	68.06	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061898213	0.030949106	0.0	0.0	0.025460709	0.0	0.0	0.0	0.0	0.0	12.163799	0.0	0.0	0.0	0.212	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	471975.0	0.0	0.0	"WA"
48	1975	33.6	0	1	0.003115	42.3	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.086	0.0	0.0	0.019188827	1.0	0.0	0.0	0.0	0.0	15.3648	0.0	0.0	0.0	0.15	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	481975.0	0.0	0.0	"WV"
49	1975	27.8	1	1	0.020801	85.23	0.018216107	0.0	0.0125187	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.019543974	0.1009772	1.0	0.0	0.02042165	1.0	0.0	0.018216107	0.0125187	0.0	50.2557	0.629136	0.0	0.9154632	0.249	0.0031171562	0.0	0.0045358106	1	0.0	0.0	0.0125187	0.629136	0.0125187	491975.0	0.0031171562	0.0	"WI"
