state	statenum	year	adopt	elect1	elect2	income1	fiscal	party	religion	neighbor	nbrpercn
"WA"	47	70	0	0	1	95.47	-0.14	0.0	7.0	0	0.0
"WI"	49	70	0	1	0	85.61	-0.09	1.0	11.8	0	0.0
"WV"	48	70	0	0	1	66.1	-0.138	0.0	6.8	0	0.0
"WY"	50	70	0	1	0	79.5	-0.005	1.0	15.3	0	0.0
"AL"	1	71	0	0	0	66.85	-0.122	1.0	34.0	0	0.0
"AR"	4	71	0	0	0	66.46	-0.01	1.0	29.6	0	0.0
"AZ"	3	71	0	0	0	84.55	-0.021	1.0	14.5	0	0.0
"CA"	5	71	0	0	0	103.5	-0.113	0.0	6.2	0	0.0
"CO"	6	71	0	0	0	89.17	-0.035	1.0	8.9	0	0.0
"CT"	7	71	0	0	0	112.0	-0.191	0.0	1.3	1	0.3333
"DE"	8	71	0	0	1	101.7	-0.123	1.0	2.9	0	0.0
"FL"	9	71	0	0	0	85.53	-0.048	1.0	15.3	0	0.0
"GA"	10	71	0	0	0	77.99	-0.046	1.0	31.1	0	0.0
"IA"	15	71	0	0	0	87.25	-0.127	1.0	7.8	0	0.0
"ID"	12	71	0	0	0	74.67	-0.161	0.0	33.6	0	0.0
"IL"	13	71	0	0	1	104.8	-0.006	0.0	8.1	0	0.0
"IN"	14	71	0	0	1	88.26	-0.002	1.0	10.3	0	0.0
"KS"	16	71	0	0	0	91.21	-0.058	0.0	10.5	0	0.0
"KY"	17	71	0	1	0	72.17	-0.091	0.0	31.4	0	0.0
"LA"	18	71	0	0	1	70.85	-0.033	1.0	18.4	0	0.0
"MA"	21	71	0	0	0	101.3	-0.118	0.0	0.8	2	0.3333
"MD"	20	71	0	0	0	100.0	0.007	1.0	4.9	0	0.0
"ME"	19	71	0	0	0	74.82	-0.194	0.0	2.3	1	0.5
"MI"	22	71	0	0	0	96.39	-0.102	0.0	7.5	0	0.0
"MN"	23	71	0	0	0	89.79	-0.052		9.3	0	0.0
"MO"	25	71	0	0	1	86.57	-0.104	1.0	20.4	0	0.0
"MS"	24	71	0	1	0	60.82	-0.096	1.0	34.4	0	0.0
"MT"	26	71	0	0	1	80.15	-0.163	0.0	7.9	0	0.0
"NC"	33	71	0	0	1	75.02	-0.037	1.0	28.5	0	0.0
"ND"	34	71	0	0	1	71.43	-0.036	0.0	6.9	0	0.0
"NE"	27	71	0	0	0	94.68	0.042		10.9	0	0.0
"NJ"	30	71	1	0	1	106.6	-0.167	1.0	1.1	1	0.3333
"NM"	31	71	0	0	0	72.99	0.037	1.0	16.4	0	0.0
"NV"	28	71	0	0	0	112.3	-0.101	0.0	13.4	0	0.0
"OH"	35	71	0	0	0	92.87	-0.196	0.0	5.7	0	0.0
"OK"	36	71	0	0	0	78.09	-0.044	1.0	33.2	0	0.0
"OR"	37	71	0	0	0	86.5	-0.208	0.0	10.0	0	0.0
"PA"	38	71	0	0	0	91.93	-0.207	1.0	2.0	1	0.1667
"RI"	39	71	0	0	0	90.69	-0.148	1.0	0.7	0	0.0
"SC"	40	71	0	0	0	68.22	-0.056	1.0	32.2	0	0.0
"SD"	41	71	0	0	0	73.28	0.029	0.0	9.9	0	0.0
"TN"	42	71	0	0	0	77.35	-0.07	0.0	31.9	0	0.0
